ENT_FED,MUNICIPIO,ESTRATO,ENT_FED_SEXO,UP_TOTAL,UP_PERS_FISIC,P_UP_PERS_CIS,P_PFISIC_PROD,P_SI_INDIG,P_INDIG_DIAL,P_INDIG_NO_DIAL,P_NO_INDIG,P_NO_INDIG_DIAL,P_NO_IND_NO_DIAL,P_PROD_AFRO
00 NAL,,,Estados Unidos Mexicanos,4629134.0,4609729.0,79.00516494570505,100.0,46.318178806124706,61.04743221976775,38.95256778023225,53.681821193875294,1.4011051087743378,98.59889489122567,1.3306681222560288
00 NAL,,Hombres,  Hombres,0.0,3733273.0,79.07876011210539,80.92082874249883,45.539929561581566,60.819177744015334,39.180822255984666,54.460070438418434,1.369024257221353,98.63097574277865,1.3533891982858828
00 NAL,,Mujeres,  Mujeres   ,0.0,876456.0,78.69168560657923,19.07917125750117,49.6189811830568,61.93594694475587,38.06405305524413,50.3810188169432,1.5481865769302674,98.45181342306974,1.2343008179616008
01 AGS,,, Aguascalientes,19648.0,19437.0,69.06930081802747,0.3674352313275177,5.5097050282744915,1.8030513176144245,98.19694868238558,94.4902949717255,0.2992317023857663,99.70076829761423,2.2390340822252788
01 AGS,,Hombres,   Hombres,0.0,17166.0,69.95223115460794,89.33975240715269,5.619707467282525,1.67427701674277,98.32572298325724,94.38029253271748,0.3172013775602683,99.68279862243973,2.2324865280985375
01 AGS,,Mujeres,   Mujeres   ,0.0,2271.0,62.39542051959489,10.660247592847318,4.587813620071684,3.125,96.875,95.41218637992831,0.15026296018031554,99.84973703981969,2.293906810035842
01 AGS,Aguascalientes,,  Aguascalientes,3098.0,3057.0,65.7834478246647,15.337001375515818,3.8863976083707024,2.5641025641025643,97.43589743589743,96.1136023916293,0.20736132711249353,99.7926386728875,0.6975585450921774
01 AGS,Aguascalientes,Hombres,    Hombres,0.0,2710.0,67.34317343173431,90.73243647234679,3.898956617243273,1.408450704225352,98.59154929577464,96.10104338275673,0.22857142857142856,99.77142857142857,0.7688083470620538
01 AGS,Aguascalientes,Mujeres,    Mujeres   ,0.0,347.0,53.60230547550432,9.267563527653214,3.763440860215054,14.285714285714286,85.71428571428571,96.23655913978494,0.0,100.0,0.0
01 AGS,Asientos,,  Asientos,3302.0,3280.0,77.86585365853658,19.272504967140456,3.8858049167327517,2.0408163265306123,97.95918367346938,96.11419508326725,0.24752475247524752,99.75247524752476,1.5463917525773196
01 AGS,Asientos,Hombres,    Hombres,0.0,2873.0,78.14131569787678,87.82712133227596,4.153498871331829,2.1739130434782608,97.82608695652173,95.84650112866817,0.23551577955723033,99.76448422044277,1.5349887133182845
01 AGS,Asientos,Mujeres,    Mujeres   ,0.0,407.0,75.92137592137593,12.172878667724028,1.9543973941368078,0.0,100.0,98.0456026058632,0.33222591362126247,99.66777408637874,1.6286644951140066
01 AGS,Calvillo,,  Calvillo,2659.0,2640.0,61.553030303030305,12.387284120434051,9.06847624922887,0.6802721088435374,99.31972789115646,90.93152375077113,0.6105834464043419,99.38941655359565,0.7402837754472548
