ENT_FED,CULTIVO,DESCRIPCION,UP_TOTAL,UP_AGCA,TON_AGCA_CUL,UP_SEMILLA,TON_SEMILLA_CUL,UP_CONSFAM,TON_CONSFAM_CUL,UP_CONSANIM,TON_CONSANIM_CUL,UP_VENTA,TON_VENTA_CUL
11 GTO,Frijol,Frijol,25679.0,25679.0,37408.3486,13754.0,1611.206953,18566.0,5342.1127064,4517.0,765.189,8725.0,29689.8396
11 GTO,Jitomate (Tomate rojo),Jitomate (Tomate rojo),370.0,227.0,36310.2284,21.0,0.0514291,113.0,8.4876635,13.0,0.5485,204.0,36301.1404
11 GTO,Maíz forrajero,Maíz forrajero,3926.0,3926.0,895455.0653,629.0,171.7875876,1291.0,1096.8317724,2122.0,443056.2366,1680.0,451130.2094
11 GTO,Maíz grano amarillo,Maíz grano amarillo,1966.0,1966.0,60186.8347,494.0,53.6984327,778.0,623.046132,876.0,5828.0478,1294.0,53682.0424
11 GTO,Maíz grano blanco,Maíz grano blanco,111599.0,111599.0,2096657.3266,51918.0,4789.5613188,73537.0,57390.8483467,49363.0,134605.3301,66041.0,1899871.5912
11 GTO,Melón,Melón,35.0,34.0,1306.0963,0.0,0.0,9.0,5.8461,3.0,0.5352,26.0,1299.715
11 GTO,Papa,Papa,24.0,23.0,21053.5763,9.0,0.0322,14.0,1.0315,0.0,0.0,13.0,21052.5126
11 GTO,Sandía,Sandía,58.0,56.0,1761.1813,14.0,0.3236,21.0,16.28817,11.0,0.265,47.0,1744.3045
11 GTO,Sorgo forrajero,Sorgo forrajero,1784.0,1784.0,127230.5788,32.0,39.3884,763.0,29.1652,1219.0,15786.4673,1353.0,111375.5579
11 GTO,Sorgo grano,Sorgo grano,19412.0,19412.0,386705.4289,4958.0,143.7077433,5043.0,497.6259005,8342.0,25855.5233,16686.0,360208.5789
11 GTO,Soya,Soya,,,0.72,,0.72,0.0,0.0,0.0,0.0,0.0,0.0
11 GTO,Tomate de cascara (tomatillo),Tomate de cascara (tomatillo),439.0,428.0,16748.5118,71.0,4.16165,109.0,8.7499678,0.0,0.0,399.0,16735.6002
11 GTO,Trigo grano,Trigo grano,9639.0,9639.0,280124.0214,4374.0,1257.7606775,4677.0,459.6670147,4049.0,832.5358,9525.0,277574.0576
11 GTO,Perennes,Perennes,,,,,,,,,,,
11 GTO,Agave,Agave,6489.0,6488.0,356276.9524,11.0,26.017,4.0,0.9083,16.0,218.9306,403.0,356031.0965
11 GTO,Aguacate,Aguacate,413.0,412.0,2404.9946,21.0,11.0209047,214.0,23.6813061,31.0,0.3244,218.0,2369.968
11 GTO,Alfalfa,Alfalfa,9323.0,9323.0,2791922.6123,217.0,1232.4784742,2241.0,130.31353,6297.0,548403.4901,6204.0,2242156.3302
11 GTO,Cacao,Cacao,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11 GTO,Café,Café,3.0,3.0,0.8189,0.0,0.0,2.0,0.23,0.0,0.0,1.0,0.5889
11 GTO,Caña de azúcar,Caña de azúcar,36.0,36.0,404.079,13.0,0.4869425,18.0,39.7375691,10.0,0.5199,20.0,363.3347
11 GTO,Espárrago,Espárrago,604.0,601.0,27389.3243,0.0,0.0,111.0,9.8167612,1.0,1.0,553.0,27378.5075
11 GTO,Fresa,Fresa,537.0,486.0,33342.5261,2.0,0.318,251.0,5.7372535,0.0,0.0,457.0,33336.4708
11 GTO,Guayaba,Guayaba,99.0,99.0,286.0828,0.0,0.0,49.0,12.6825,8.0,0.8636,41.0,272.5367
11 GTO,Limón,Limón,273.0,272.0,2167.1565,16.0,0.0384153,66.0,3.7264188,10.0,0.0019,61.0,2163.3897
11 GTO,Mango,Mango,62.0,62.0,86.6647,2.0,0.0103,53.0,16.2481724,4.0,5.0541,28.0,65.3522
11 GTO,Manzana,Manzana,228.0,228.0,1326.7997,1.0,0.015,136.0,26.8486952,12.0,2.9314,87.0,1297.0045
11 GTO,Naranja,Naranja,18.0,18.0,54.0978,3.0,0.0453,13.0,1.04,0.0,0.0,3.0,53.0125
11 GTO,Nopal verdura,Nopal verdura,221.0,213.0,6925.9156,97.0,59.9980296,120.0,20.7743736,88.0,12.2311,189.0,6832.9121
11 GTO,Nuez,Nuez,152.0,152.0,92.7829,4.0,0.0107,84.0,5.7012404,4.0,0.0037,66.0,87.0672
11 GTO,Papaya,Papaya,7.0,7.0,29.32,0.0,0.0,5.0,0.89,0.0,0.0,3.0,28.43
11 GTO,Pasto cultivado,Pasto cultivado,181.0,181.0,8214.2157,19.0,25.522,3.0,0.0891,138.0,6027.3438,48.0,2161.2608
11 GTO,Plátano,Plátano,23.0,23.0,2.9745,0.0,0.0,16.0,1.3704,0.0,0.0,4.0,1.6041
11 GTO,Uva,Uva,21.0,21.0,2947.4971,4.0,0.3326,8.0,5.3578,4.0,0.0779,15.0,2941.7288
12 GRO,,Guerrero,27337.0,22262.0,,13288.0,,18125.0,,8729.0,,12528.0,
12 GRO,Anuales,Anuales,,,,,,,,,,,
12 GRO,Algodón,Algodón,6.0,6.0,2.4,5.0,1.438,1.0,0.289,1.0,0.673,0.0,0.0
12 GRO,Amaranto,Amaranto,16.0,16.0,4.668,8.0,0.209085,12.0,0.407719,0.0,0.0,10.0,4.0512
12 GRO,Arroz,Arroz,227.0,226.0,622.5301,130.0,3.2737606,159.0,59.8781916,27.0,1.3625,127.0,558.0158
12 GRO,Avena forrajera,Avena forrajera,,,18.824,0.0,0.0,0.0,0.0,,18.824,0.0,0.0
12 GRO,Brócoli,Brócoli,,,0.6305,,0.01,,0.065,0.0,0.0,,0.5555
12 GRO,Calabaza/calabacita,Calabaza/calabacita,34723.0,34721.0,125981.4603,28833.0,9980.7165921,31360.0,82723.9172382,4333.0,10673.4238,12911.0,22603.403
12 GRO,Cebolla,Cebolla,275.0,272.0,1127.796,133.0,2.4352585,188.0,42.9696684,116.0,0.4527,264.0,1081.9384
12 GRO,Chile,Chile,2559.0,2544.0,2180.2752,1382.0,229.9415774,2263.0,266.4494527,60.0,0.3621,1301.0,1683.5222
12 GRO,Frijol,Frijol,44230.0,44227.0,12837.2835,37245.0,683.0922448,42737.0,6334.1013773,3531.0,44.1455,12373.0,5775.9441
12 GRO,Jitomate (Tomate rojo),Jitomate (Tomate rojo),1203.0,907.0,8037.0266,428.0,44.7369335,681.0,136.2976417,246.0,25.4717,775.0,7830.5204
12 GRO,Maíz forrajero,Maíz forrajero,9417.0,9417.0,541218.2124,2125.0,162.6514182,5388.0,8495.3303259,6258.0,345811.5501,2632.0,186748.6805
12 GRO,Maíz grano amarillo,Maíz grano amarillo,9295.0,9295.0,71375.7407,4013.0,163.8300042,6016.0,7668.7198519,5686.0,43287.0727,2371.0,20256.1176
12 GRO,Maíz grano blanco,Maíz grano blanco,228743.0,228743.0,1061881.8314,127043.0,6881.2609875,217058.0,314885.7319157,117246.0,228617.025,94077.0,511497.8052
12 GRO,Melón,Melón,255.0,253.0,20963.5104,85.0,27.5757014,161.0,654.764429,31.0,25.2424,149.0,20255.9279
12 GRO,Papa,Papa,14.0,13.0,58.3871,11.0,0.591,10.0,1.4493,0.0,0.0,6.0,56.3468
12 GRO,Sandía,Sandía,1385.0,1382.0,31190.7254,405.0,230.7852803,884.0,5889.2453153,158.0,95.1271,974.0,24975.5682
12 GRO,Sorgo forrajero,Sorgo forrajero,1029.0,1029.0,74245.7664,33.0,4.4791013,75.0,19.9567,860.0,55056.8198,250.0,19164.5108
12 GRO,Sorgo grano,Sorgo grano,2461.0,2461.0,29079.907,202.0,55.3051413,147.0,55.6115644,1964.0,15460.4765,893.0,13508.5136
12 GRO,Soya,Soya,11.0,11.0,13.0888,2.0,0.053,3.0,0.1481,7.0,12.8877,0.0,0.0
12 GRO,Tomate de cascara (tomatillo),Tomate de cascara (tomatillo),695.0,691.0,2278.1343,370.0,19.4157315,477.0,40.3106161,44.0,0.4284,619.0,2217.9796
12 GRO,Trigo grano,Trigo grano,,,2.3,0.0,0.0,0.0,0.0,0.0,0.0,,2.3
12 GRO,Perennes,Perennes,,,,,,,,,,,
12 GRO,Agave,Agave,1582.0,1575.0,24843.7385,31.0,130.2481458,42.0,359.3266102,6.0,0.5049,242.0,24353.6588
12 GRO,Aguacate,Aguacate,3009.0,3003.0,10592.8024,179.0,276.9170133,864.0,360.4727099,104.0,2.5267,1161.0,9952.8861
12 GRO,Alfalfa,Alfalfa,30.0,30.0,845.4584,1.0,5.3e-06,5.0,0.0283,20.0,225.552,21.0,619.8781
12 GRO,Cacao,Cacao,742.0,740.0,78.1429,9.0,0.0366,55.0,5.0722846,5.0,0.0018,86.0,73.0322
12 GRO,Café,Café,11797.0,11787.0,15433.3436,1140.0,144.1748545,6744.0,1111.1163453,68.0,9.8871,9257.0,14168.1646
12 GRO,Caña de azúcar,Caña de azúcar,513.0,513.0,2446.1814,41.0,134.6516701,279.0,174.5844577,46.0,591.8374,413.0,1545.1079
12 GRO,Coco,Coco,16918.0,16913.0,212985.5981,6359.0,376.5534356,6744.0,1743.2398166,6116.0,143.5631,15703.0,210722.242
12 GRO,Fresa,Fresa,6.0,5.0,1.43,1.0,0.0005,4.0,0.1395,0.0,0.0,3.0,1.29
12 GRO,Guayaba,Guayaba,1446.0,1438.0,2622.8654,36.0,19.0192688,297.0,33.3595483,48.0,70.9174,300.0,2499.5692
12 GRO,Limón,Limón,5101.0,5093.0,13441.4537,308.0,0.9507371,902.0,75.72991,125.0,1.1906,1814.0,13363.5824
12 GRO,Mango,Mango,13887.0,13879.0,458067.8813,3105.0,23.5660857,4608.0,1073.2874772,3354.0,572.6148,11109.0,456398.4128
12 GRO,Manzana,Manzana,226.0,225.0,35.1167,44.0,1.088415,105.0,13.687515,12.0,0.2936,50.0,20.0472
12 GRO,Naranja,Naranja,908.0,902.0,1305.4609,68.0,0.1948,192.0,32.1736465,7.0,0.2653,291.0,1272.8272
12 GRO,Nopal verdura,Nopal verdura,172.0,172.0,954.117,6.0,0.7665,30.0,117.4322831,9.0,14.0635,45.0,821.8547
12 GRO,Nuez,Nuez,91.0,90.0,4.7171,16.0,0.039,34.0,1.6639,1.0,0.0001,13.0,3.0141
12 GRO,Papaya,Papaya,704.0,698.0,17309.7827,75.0,11.4092733,239.0,438.635784,41.0,154.1061,410.0,16705.6314
12 GRO,Pasto cultivado,Pasto cultivado,9125.0,9125.0,979105.9087,146.0,563.627997,34.0,186.8053,6935.0,232494.3809,4768.0,745861.0944
12 GRO,Piña,Piña,309.0,308.0,5213.8793,28.0,92.8749253,187.0,1574.9329261,3.0,0.0106,176.0,3546.0613
12 GRO,Plátano,Plátano,3254.0,3242.0,36541.7718,221.0,140.5566739,1304.0,2118.665572,283.0,370.8146,2012.0,33911.7355
12 GRO,Uva,Uva,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13 HGO,,Hidalgo,28167.0,19182.0,,6265.0,,7829.0,,5594.0,,10847.0,
13 HGO,Anuales,Anuales,,,,,,,,,,,
13 HGO,Algodón,Algodón,,,0.005,0.0,0.0,0.0,0.0,0.0,0.0,,0.005
13 HGO,Amaranto,Amaranto,14.0,13.0,1.8087,2.0,0.006,6.0,0.28631,1.0,0.01,5.0,1.5064
13 HGO,Avena forrajera,Avena forrajera,7775.0,7775.0,159833.2479,371.0,196.5371577,1474.0,57.2111,4843.0,61866.3863,2791.0,97713.1133
13 HGO,Brócoli,Brócoli,602.0,592.0,7461.6314,210.0,49.7184849,263.0,10.4453308,236.0,55.5654,573.0,7345.9022
13 HGO,Calabaza/calabacita,Calabaza/calabacita,3458.0,3429.0,12013.7526,1088.0,202.7348058,1823.0,2107.9496189,277.0,110.011,1625.0,9593.0578
13 HGO,Cebada grano,Cebada grano,15728.0,15728.0,147447.6354,8570.0,3235.0772984,7071.0,208.506195,9544.0,16323.4457,11830.0,127680.6061
13 HGO,Cebolla,Cebolla,525.0,509.0,7668.06,65.0,3.3162078,193.0,19.7188324,3.0,48.8651,470.0,7596.1598
13 HGO,Chile,Chile,3043.0,2989.0,7119.233,988.0,42.6269372,2013.0,187.6365743,120.0,1.0895,2011.0,6887.8799
13 HGO,Frijol,Frijol,28284.0,28284.0,7224.0203,12900.0,401.4800648,18596.0,2712.2401353,1859.0,93.4322,6475.0,4016.8677
13 HGO,Jitomate (Tomate rojo),Jitomate (Tomate rojo),2172.0,721.0,21719.9876,356.0,38.0620263,530.0,181.829916,347.0,1.2409,678.0,21498.8546
13 HGO,Maíz forrajero,Maíz forrajero,3092.0,3092.0,154734.54,353.0,76.819597,1016.0,542.1297758,1914.0,87944.8636,1122.0,66170.7272
13 HGO,Maíz grano amarillo,Maíz grano amarillo,18401.0,18401.0,21739.7366,13489.0,516.0105235,15758.0,8068.8539274,5223.0,6282.6948,2166.0,6872.1776
13 HGO,Maíz grano blanco,Maíz grano blanco,121903.0,121903.0,520390.7065,68358.0,3987.8109451,87587.0,63231.4566071,48583.0,60683.7887,46728.0,392487.6465
13 HGO,Melón,Melón,36.0,36.0,2008.3527,5.0,0.4946376,16.0,23.613842,1.0,0.0821,27.0,1984.1622
13 HGO,Papa,Papa,154.0,152.0,1738.7703,85.0,7.3506667,119.0,17.6991333,3.0,0.246,71.0,1713.4745
13 HGO,Sandía,Sandía,35.0,31.0,218.6068,5.0,0.6357383,18.0,53.8904638,1.0,1.0,14.0,163.0806
13 HGO,Sorgo forrajero,Sorgo forrajero,88.0,88.0,3433.7248,1.0,0.04,0.0,0.0,52.0,3146.1648,8.0,287.52
13 HGO,Sorgo grano,Sorgo grano,19.0,19.0,75.6827,5.0,7.4129473,1.0,0.002426,12.0,36.6402,3.0,31.6271
13 HGO,Tomate de cascara (tomatillo),Tomate de cascara (tomatillo),1190.0,1177.0,13368.7781,299.0,12.7093679,582.0,62.5011184,194.0,40.7347,1051.0,13252.833
13 HGO,Trigo grano,Trigo grano,351.0,351.0,1893.9181,108.0,82.8992541,54.0,8.0172533,123.0,333.8812,136.0,1469.1203
13 HGO,Perennes,Perennes,,,,,,,,,,,
13 HGO,Agave,Agave,2249.0,2232.0,16355.6557,45.0,1806.21416,131.0,664.0484416,73.0,1181.4281,333.0,12703.9648
13 HGO,Aguacate,Aguacate,2681.0,2640.0,2288.451,32.0,7.2605733,677.0,135.4185512,23.0,7.7859,764.0,2137.9862
13 HGO,Alfalfa,Alfalfa,20423.0,20423.0,1960108.0411,110.0,49.8825012,6606.0,187.8094333,15510.0,357905.2827,13490.0,1601965.0666
13 HGO,Cacao,Cacao,43.0,43.0,0.002,0.0,0.0,1.0,0.002,0.0,0.0,0.0,0.0
13 HGO,Café,Café,12989.0,12941.0,7171.7893,740.0,51.5346539,7401.0,1932.2460375,88.0,3.0606,4390.0,5184.9476
13 HGO,Caña de azúcar,Caña de azúcar,2001.0,2001.0,19848.671,104.0,169.8842433,1158.0,4027.806828,451.0,2800.6127,1113.0,12850.3675
13 HGO,Coco,Coco,,,0.8499,,0.0007,,0.0074,,0.001,,0.8408
13 HGO,Espárrago,Espárrago,,,3.4,0.0,0.0,0.0,0.0,0.0,0.0,,3.4
13 HGO,Fresa,Fresa,51.0,24.0,34.3425,1.0,0.0003523,14.0,0.8985924,0.0,0.0,17.0,33.4436
13 HGO,Guayaba,Guayaba,510.0,494.0,128.853,5.0,32.262134,104.0,11.3181571,7.0,0.7653,46.0,84.5074
13 HGO,Limón,Limón,2291.0,2260.0,405.6893,20.0,0.5287,279.0,20.4278938,1.0,0.5,255.0,384.2326
13 HGO,Mango,Mango,1129.0,1117.0,518.3406,5.0,0.1532989,382.0,132.0211547,25.0,43.7569,252.0,342.4091
13 HGO,Manzana,Manzana,1620.0,1600.0,556.6327,26.0,23.6581489,658.0,106.9834036,55.0,16.2688,545.0,409.7225
13 HGO,Naranja,Naranja,9539.0,9507.0,47144.8237,572.0,26.5297359,1636.0,841.228273,613.0,42.0424,5562.0,46235.0235
13 HGO,Nopal verdura,Nopal verdura,913.0,829.0,11113.7711,54.0,74.1774745,358.0,1457.746417,65.0,51.3498,390.0,9530.4977
13 HGO,Nuez,Nuez,1314.0,1304.0,1707.878,99.0,0.1308286,484.0,26.601224,120.0,0.1288,877.0,1681.0169
13 HGO,Papaya,Papaya,490.0,484.0,2998.6921,11.0,2.3650203,161.0,1025.0249374,7.0,3.0707,124.0,1968.2315
13 HGO,Pasto cultivado,Pasto cultivado,2744.0,2744.0,155889.3398,23.0,4.3951375,7.0,3.3951,1993.0,33612.9594,1305.0,122268.5902
13 HGO,Piña,Piña,159.0,159.0,340.1085,15.0,10.1670319,58.0,29.5725782,10.0,0.1103,54.0,300.2587
13 HGO,Plátano,Plátano,2547.0,2547.0,11315.1904,21.0,113.1460836,1440.0,2788.9157807,49.0,104.9917,1074.0,8308.1367
13 HGO,Uva,Uva,9.0,8.0,11.0036,0.0,0.0,2.0,0.0036,0.0,0.0,2.0,11.0
14 JAL,,Jalisco,28799.0,13649.0,,4716.0,,6137.0,,5806.0,,9032.0,
14 JAL,Anuales,Anuales,,,,,,,,,,,
14 JAL,Amaranto,Amaranto,,,24.06,,0.3427,,0.1,,0.0817,,23.5356
14 JAL,Arroz,Arroz,221.0,220.0,10148.0893,42.0,27.6858319,40.0,6.559,41.0,8.4317,203.0,10105.4127
14 JAL,Avena forrajera,Avena forrajera,631.0,631.0,80872.4632,28.0,13.2718,4.0,8.7417,449.0,69316.0946,123.0,11534.3551
14 JAL,Brócoli,Brócoli,20.0,20.0,6587.8933,9.0,0.0485148,10.0,0.5386067,8.0,0.7819,19.0,6586.5243
14 JAL,Calabaza/calabacita,Calabaza/calabacita,713.0,708.0,4404.2893,299.0,22.749001,345.0,241.1325135,228.0,201.7956,535.0,3938.6123
14 JAL,Cebada grano,Cebada grano,69.0,69.0,2009.7655,28.0,29.2387,14.0,3.072,36.0,278.0106,42.0,1699.4442
14 JAL,Cebolla,Cebolla,403.0,399.0,26574.2729,148.0,11.3111,165.0,6.0462941,146.0,57.9999,381.0,26498.9156
14 JAL,Chile,Chile,772.0,734.0,97130.8453,309.0,0.4433917,404.0,14.4932823,2.0,28.025,700.0,97087.8836
14 JAL,Frijol,Frijol,3456.0,3456.0,8477.6148,1744.0,395.3517431,2611.0,905.2296223,279.0,69.2794,1500.0,7107.7537
14 JAL,Jitomate (Tomate rojo),Jitomate (Tomate rojo),628.0,510.0,124893.1698,156.0,0.5804857,377.0,48.9328598,352.0,59.3394,493.0,124784.3171
14 JAL,Maíz forrajero,Maíz forrajero,34899.0,34899.0,7360889.2548,1309.0,1066.2100924,14076.0,9103.034604,27581.0,4282592.9081,18542.0,3068127.1024
14 JAL,Maíz grano amarillo,Maíz grano amarillo,10234.0,10234.0,412110.7507,4468.0,929.1815247,5242.0,4490.257283,6843.0,119863.8166,6562.0,286827.4965
14 JAL,Maíz grano blanco,Maíz grano blanco,62386.0,62386.0,2791090.2903,36435.0,3350.7761928,41235.0,27306.8311112,42678.0,363387.017,52829.0,2397045.6641
14 JAL,Melón,Melón,18.0,17.0,1694.4485,0.0,0.0,9.0,11.2,0.0,0.0,15.0,1683.2485
14 JAL,Papa,Papa,39.0,39.0,19456.5265,24.0,16.8479,28.0,41.3719,0.0,0.0,34.0,19398.3067
14 JAL,Sandía,Sandía,215.0,214.0,92466.397,105.0,3.1504,115.0,16.7019,109.0,98.6882,197.0,92347.8565
14 JAL,Sorgo forrajero,Sorgo forrajero,1142.0,1142.0,89438.2141,17.0,2.5081794,249.0,26.7781,935.0,48063.6092,485.0,41345.3186
14 JAL,Sorgo grano,Sorgo grano,3012.0,3012.0,77540.1272,1559.0,51.7954082,1551.0,28.9800012,1981.0,7790.1458,2619.0,69669.2058
14 JAL,Soya,Soya,,,13.3146,,0.2099,,0.0082,,2.0856,,11.0109
14 JAL,Tomate de cascara (tomatillo),Tomate de cascara (tomatillo),683.0,679.0,44228.3444,168.0,7.4371999,202.0,22.0397475,94.0,23.0842,535.0,44175.7833
14 JAL,Trigo grano,Trigo grano,1224.0,1224.0,39898.3847,300.0,245.913748,288.0,35.6436573,287.0,236.7528,1200.0,39380.0743
14 JAL,Perennes,Perennes,,,,,,,,,,,
14 JAL,Agave,Agave,20856.0,20854.0,1974504.345,59.0,917.1187425,8.0,7.3165525,11.0,1369.5265,1906.0,1972210.3832
14 JAL,Aguacate,Aguacate,3388.0,3388.0,388584.7866,1773.0,15.6704994,1946.0,240.8532808,1777.0,130.8062,2950.0,388197.4565
14 JAL,Alfalfa,Alfalfa,1305.0,1305.0,679868.6431,14.0,10.4252,622.0,24.6271,1047.0,134520.1862,963.0,545313.4046
14 JAL,Cacao,Cacao,,,0.236,0.0,0.0,0.0,0.0,0.0,0.0,,0.236
14 JAL,Café,Café,366.0,366.0,3043.9313,4.0,0.0385,115.0,22.8235732,0.0,0.0,324.0,3021.0692
14 JAL,Caña de azúcar,Caña de azúcar,23144.0,23144.0,8997525.1648,11270.0,88874.3971379,11049.0,1291.5570319,11206.0,12828.954,22297.0,8894530.257
14 JAL,Coco,Coco,445.0,445.0,25298.8841,116.0,2.5608265,130.0,15.5143096,115.0,10.3887,355.0,25270.4204
14 JAL,Espárrago,Espárrago,7.0,7.0,138.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,138.9
14 JAL,Fresa,Fresa,135.0,108.0,28995.5489,0.0,0.0,1.0,0.0104,0.0,0.0,103.0,28995.5385
14 JAL,Guayaba,Guayaba,66.0,66.0,616.8531,0.0,0.0,17.0,11.2761,1.0,3.2,32.0,602.377
14 JAL,Limón,Limón,3241.0,3235.0,189590.9491,1187.0,5.8404,1339.0,154.7389732,1105.0,21.3718,2136.0,189408.998
14 JAL,Mango,Mango,1947.0,1945.0,171834.4967,768.0,2.5819,823.0,108.0904082,782.0,223.4249,1613.0,171500.3995
14 JAL,Manzana,Manzana,12.0,10.0,2.666,0.0,0.0,4.0,0.15,0.0,0.0,2.0,2.516
14 JAL,Naranja,Naranja,74.0,74.0,4137.0608,0.0,0.0,27.0,13.9444,0.0,0.0,33.0,4123.1164
14 JAL,Nopal verdura,Nopal verdura,421.0,421.0,23893.3126,88.0,20.4134352,106.0,7.2719064,86.0,3.9276,397.0,23861.6997
14 JAL,Nuez,Nuez,88.0,88.0,56.6976,4.0,0.0006,45.0,2.5011288,9.0,1.1774,66.0,53.0184
14 JAL,Papaya,Papaya,150.0,150.0,38476.0248,1.0,0.0004314,81.0,2.1429667,63.0,2.9468,123.0,38470.9346
14 JAL,Pasto cultivado,Pasto cultivado,4480.0,4480.0,1489558.412,25.0,41.6650941,4.0,3.11,3213.0,235393.3752,2723.0,1254120.2617
14 JAL,Piña,Piña,352.0,338.0,42874.8865,133.0,76.971731,135.0,16.3800824,132.0,9.2818,264.0,42772.2531
14 JAL,Plátano,Plátano,381.0,381.0,81857.5158,83.0,0.0495,121.0,30.4411448,102.0,5.2595,314.0,81821.7657
14 JAL,Uva,Uva,9.0,9.0,13662.442,3.0,0.0282,5.0,0.1073,3.0,0.0066,7.0,13662.2999
15 MEX,,México,74516.0,60970.0,,39042.0,,43345.0,,21420.0,,27292.0,
15 MEX,Anuales,Anuales,,,,,,,,,,,
15 MEX,Amaranto,Amaranto,91.0,77.0,267.2952,34.0,4.7148345,16.0,0.7014564,7.0,4.24,66.0,257.6389
15 MEX,Arroz,Arroz,11.0,11.0,47.2686,2.0,0.0838,2.0,0.0343,2.0,0.0081,11.0,47.1424
15 MEX,Avena forrajera,Avena forrajera,23557.0,23557.0,421428.746,5103.0,1800.2327249,3974.0,551.4541769,17747.0,143909.0118,10530.0,275168.0465
15 MEX,Brócoli,Brócoli,455.0,373.0,2287.2905,29.0,19.7694781,121.0,24.2814172,18.0,4.3018,324.0,2238.9378
15 MEX,Calabaza/calabacita,Calabaza/calabacita,4834.0,4724.0,7487.0328,1875.0,93.6180998,3419.0,2102.788016,394.0,227.4689,1956.0,5063.1578
15 MEX,Cebada grano,Cebada grano,6180.0,6179.0,22797.3069,3493.0,1190.4328136,2908.0,105.1038573,3388.0,2867.2858,3717.0,18634.4845
15 MEX,Cebolla,Cebolla,775.0,671.0,8916.9963,78.0,161.3254244,206.0,29.715089,11.0,0.3275,607.0,8725.6284
15 MEX,Chile,Chile,779.0,525.0,878.9686,72.0,3.0553266,205.0,7.9663719,8.0,0.0458,384.0,867.9011
15 MEX,Frijol,Frijol,12445.0,12444.0,3914.2941,6507.0,240.8309776,9922.0,2099.5362459,125.0,51.3511,2412.0,1522.5753
15 MEX,Jitomate (Tomate rojo),Jitomate (Tomate rojo),3982.0,1657.0,28977.43,1012.0,55.4447424,1338.0,91.3112416,338.0,4.0209,1472.0,28826.6529
15 MEX,Maíz forrajero,Maíz forrajero,10852.0,10852.0,808727.639,2277.0,310.5685811,4946.0,2020.392849,8505.0,295337.1908,5858.0,511059.4865
15 MEX,Maíz grano amarillo,Maíz grano amarillo,17727.0,17727.0,75909.5357,12971.0,909.4710133,13199.0,12763.2207001,9915.0,39477.5249,4445.0,22759.3183
15 MEX,Maíz grano blanco,Maíz grano blanco,268379.0,268379.0,700710.9612,213104.0,12237.2527294,244205.0,193496.4900228,128811.0,146650.7483,95942.0,348326.4639
15 MEX,Melón,Melón,,,39.1159,0.0,0.0,,0.22,0.0,0.0,,38.8959
15 MEX,Papa,Papa,2274.0,2243.0,120749.7978,1284.0,3436.6722948,1433.0,432.1001765,817.0,189.5485,2026.0,116691.4771
15 MEX,Sandía,Sandía,20.0,19.0,409.0852,7.0,0.0599,18.0,49.8088371,0.0,0.0,14.0,359.2165
15 MEX,Sorgo forrajero,Sorgo forrajero,123.0,123.0,3798.535,5.0,0.171,0.0,0.0,98.0,2828.2434,25.0,970.1206
15 MEX,Sorgo grano,Sorgo grano,124.0,124.0,868.3963,17.0,0.7514889,1.0,1.2742,93.0,635.4428,46.0,230.9278
15 MEX,Soya,Soya,,,0.1728,0.0,0.0,0.0,0.0,0.0,0.0,,0.1728
15 MEX,Tomate de cascara (tomatillo),Tomate de cascara (tomatillo),1157.0,1084.0,9757.166,174.0,115.3074931,446.0,36.7923246,6.0,3.5703,969.0,9601.4957
15 MEX,Trigo grano,Trigo grano,2493.0,2493.0,8600.4614,1297.0,581.5550227,958.0,343.7258606,675.0,1408.9283,1112.0,6266.2522
15 MEX,Perennes,Perennes,,,,,,,,,,,
15 MEX,Agave,Agave,2062.0,2059.0,47323.087,54.0,106.3518911,38.0,157.5151588,11.0,273.7553,472.0,46785.4646
15 MEX,Aguacate,Aguacate,9442.0,9422.0,60932.1317,1150.0,271.8898328,3830.0,410.9468096,39.0,2.1042,7418.0,60247.1903
15 MEX,Alfalfa,Alfalfa,3262.0,3262.0,180962.4282,135.0,22.9998026,93.0,63.9313159,2074.0,102180.9358,1333.0,78694.5613
15 MEX,Café,Café,844.0,843.0,592.319,84.0,1.147279,715.0,119.1109393,3.0,0.1541,383.0,471.9067
15 MEX,Caña de azúcar,Caña de azúcar,262.0,262.0,17811.6363,79.0,496.6760565,65.0,32.250109,36.0,140.034,240.0,17142.6759
15 MEX,Coco,Coco,,,2.6,0.0,0.0,,2.6,0.0,0.0,0.0,0.0
15 MEX,Espárrago,Espárrago,41.0,40.0,57.1385,0.0,0.0,9.0,1.2686535,2.0,0.849,34.0,55.0208
15 MEX,Fresa,Fresa,1095.0,629.0,3912.7397,11.0,5.3861415,212.0,15.6008473,0.0,0.0,573.0,3891.7525
15 MEX,Guayaba,Guayaba,604.0,600.0,4769.6631,76.0,0.0898062,301.0,36.770235,107.0,31.1003,417.0,4701.703
15 MEX,Limón,Limón,1196.0,1181.0,1595.643,40.0,1.42981,384.0,21.3829357,9.0,0.0045,421.0,1572.8256
15 MEX,Mango,Mango,240.0,239.0,1253.5522,46.0,0.016378,161.0,35.5740209,95.0,49.4872,171.0,1168.4746
