ENT_FED,CULTIVO,DESCRIPCION,UP_TOTAL,UP_AGCA,TON_AGCA_CUL,UP_SEMILLA,TON_SEMILLA_CUL,UP_CONSFAM,TON_CONSFAM_CUL,UP_CONSANIM,TON_CONSANIM_CUL,UP_VENTA,TON_VENTA_CUL
07 CHS,Guayaba,Guayaba,831.0,827.0,2718.1077,4.0,0.0206,220.0,273.0803085,12.0,4.3027,263.0,2440.7043
07 CHS,Limón,Limón,7794.0,7786.0,25062.1114,534.0,19.3336136,1552.0,235.6813185,265.0,15.9603,2104.0,24791.1365
07 CHS,Mango,Mango,10157.0,10150.0,205914.1722,1801.0,4.7998815,2975.0,569.8366769,2207.0,193.7416,8785.0,205145.794
07 CHS,Manzana,Manzana,357.0,357.0,286.7696,1.0,0.0032143,91.0,40.8901645,23.0,0.4434,90.0,245.4329
07 CHS,Naranja,Naranja,5324.0,5313.0,8185.8048,69.0,6.5767323,366.0,311.217146,54.0,1.0087,601.0,7867.0021
07 CHS,Nopal verdura,Nopal verdura,70.0,70.0,267.9396,6.0,4.3282465,34.0,2.865829,5.0,20.8979,64.0,239.8476
07 CHS,Nuez,Nuez,473.0,473.0,761.7547,28.0,0.3402,22.0,1.0204,9.0,0.0068,348.0,760.3873
07 CHS,Papaya,Papaya,283.0,283.0,79701.1703,58.0,15.7434588,141.0,347.3443215,50.0,1.862,184.0,79336.2203
07 CHS,Pasto cultivado,Pasto cultivado,9819.0,9819.0,1752918.7089,101.0,12.8039,0.0,0.0,7971.0,292445.4676,6792.0,1460460.4374
07 CHS,Piña,Piña,1064.0,1064.0,10803.8267,40.0,423.080033,317.0,465.370036,11.0,0.2654,581.0,9915.1117
07 CHS,Plátano,Plátano,11832.0,11829.0,592706.7319,876.0,2135.0590847,4609.0,4003.0619,1302.0,762.2215,7886.0,585806.3897
08 CHI,,Chihuahua,17823.0,7876.0,,5868.0,,5922.0,,5649.0,,5098.0,
08 CHI,Anuales,Anuales,,,,,,,,,,,
08 CHI,Algodón,Algodón,1908.0,1908.0,508400.4858,641.0,108.1393798,0.0,0.0,636.0,70.3894,1800.0,508221.9571
08 CHI,Avena forrajera,Avena forrajera,13673.0,13673.0,2168035.8163,728.0,1895.3317371,3313.0,341.0748,11757.0,1164293.8655,5497.0,1001505.5442
08 CHI,Brócoli,Brócoli,6.0,5.0,83.78,0.0,0.0,0.0,0.0,0.0,0.0,4.0,83.78
08 CHI,Calabaza/calabacita,Calabaza/calabacita,498.0,496.0,2380.9884,107.0,3.3541794,390.0,185.9991284,59.0,21.179,117.0,2170.4561
08 CHI,Cebada grano,Cebada grano,149.0,149.0,16029.4213,19.0,20.7491,8.0,1.6231,18.0,116.1143,142.0,15890.9348
08 CHI,Cebolla,Cebolla,359.0,359.0,207014.9596,145.0,2.2606,39.0,5.8853435,1.0,0.025,344.0,207006.7887
08 CHI,Chile,Chile,2292.0,2281.0,569853.2913,715.0,599.3557535,897.0,39.5374221,644.0,24.5161,1942.0,569189.8819
08 CHI,Frijol,Frijol,19952.0,19952.0,71482.9871,13184.0,1991.973371,17343.0,6619.3617156,1593.0,781.7676,5753.0,62089.8846
08 CHI,Jitomate (Tomate rojo),Jitomate (Tomate rojo),104.0,80.0,5516.0045,8.0,0.0406,42.0,4.5568753,1.0,0.0112,41.0,5511.3958
08 CHI,Maíz forrajero,Maíz forrajero,5535.0,5535.0,1466918.4317,606.0,140.5992725,1825.0,348.25374,4284.0,588541.7666,2408.0,877887.8121
08 CHI,Maíz grano amarillo,Maíz grano amarillo,7847.0,7847.0,1643790.8539,5532.0,1505.4356425,5575.0,4462.7881858,4554.0,35549.1693,4236.0,1602273.4603
08 CHI,Maíz grano blanco,Maíz grano blanco,23549.0,23549.0,238542.9093,17663.0,1817.0962583,19426.0,14937.304553,12855.0,39936.4107,3385.0,181852.0961
08 CHI,Melón,Melón,64.0,63.0,16458.652,2.0,0.002,8.0,0.789,0.0,0.0,50.0,16457.861
08 CHI,Papa,Papa,2065.0,2064.0,34166.6512,1230.0,2401.603799,1887.0,778.3100956,37.0,25.4106,263.0,30961.3267
