ENT_FED,NOM_MUN,CULTIVO,DESCRIPCION,UP_TOTAL,UP_AGCA_PER,SUPSEM_AGCA_PER,SUPCOS_AGCA_PER,TON_AGCA,UP_AGCA_PER_T,SUPSEM_AGCA_PER_T,SUPCOS_AGCA_PER_T,TON_AGCA_T,UP_AGCA_PER_R,SUPSEM_AGCA_PER_R,SUPCOS_AGCA_PER_R,TON_AGCA_R
00 NAL,,,Estados Unidos Mexicanos,4629134.0,1468379.0,7933316.4622,5572191.6673,,1121235.0,5834874.847,3731798.8986,,360055.0,2098441.6152,1840392.7687,
00 NAL,,Perennes,Perennes,,,,,,,,,,,,,
00 NAL,,Agave,Agave,75997.0,75800.0,361475.415,39259.6147,2971469.4619,71645.0,344817.7621,37264.0207,2828991.0594,4350.0,16657.6529,1995.594,142478.4025
00 NAL,,Aguacate,Aguacate,109178.0,108931.0,290820.4251,239048.8623,2484835.3486,74617.0,125103.7686,87920.5763,778659.2802,34845.0,165716.6565,151128.286,1706176.0684
00 NAL,,Alfalfa,Alfalfa,101219.0,101219.0,425357.4661,413482.7639,33654201.8324,8110.0,15216.6058,14207.1095,420363.2191,93334.0,410140.8603,399275.6544,33233838.6133
00 NAL,,Cacao,Cacao,55241.0,55200.0,91855.8976,60410.4783,29690.1565,54167.0,89728.5757,59223.4595,29170.1793,1053.0,2127.3219,1187.0188,519.9772
00 NAL,,Café,Café,358575.0,358301.0,564651.4215,491507.0971,737490.8006,356147.0,561563.3346,489021.4264,733888.6503,2215.0,3088.0869,2485.6707,3602.1503
00 NAL,,Caña de azúcar,Caña de azúcar,200317.0,200317.0,1007713.1563,975033.4743,59565348.7933,118059.0,605774.5169,583239.2356,30574837.0282,83511.0,401938.6394,391794.2387,28990511.7651
00 NAL,,Coco,Coco,38203.0,38185.0,104141.0024,87125.9304,399165.7995,27723.0,67166.2198,54293.0575,236881.4485,10573.0,36974.7826,32832.8729,162284.351
00 NAL,,Espárrago,Espárrago,1342.0,1331.0,38053.1992,36301.797,334781.8261,43.0,129.2322,107.2032,224.7792,1288.0,37923.967,36194.5938,334557.0469
00 NAL,,Fresa,Fresa,5791.0,4559.0,13723.6807,13309.5993,429040.6761,383.0,687.8377,621.438,12908.5259,4188.0,13035.843,12688.1613,416132.1502
00 NAL,,Guayaba,Guayaba,25594.0,25438.0,34964.5431,19435.1202,270778.2354,15096.0,14907.367,2848.9382,11283.2183,10355.0,20057.1761,16586.182,259495.0171
00 NAL,,Limón,Limón,151619.0,151188.0,367930.964,238622.1789,3234927.2384,105655.0,183798.6807,93466.5355,1045245.2098,46052.0,184132.2833,145155.6434,2189682.0286
00 NAL,,Mango,Mango,78216.0,78071.0,277296.6841,232719.2763,2241628.1917,55522.0,173414.0221,139797.8516,1074304.8396,22858.0,103882.662,92921.4247,1167323.3521
00 NAL,,Manzana,Manzana,24918.0,24495.0,42512.509,29124.5514,324124.0389,20241.0,18111.781,7617.2098,20936.7285,4306.0,24400.728,21507.3416,303187.3104
00 NAL,,Naranja,Naranja,153994.0,153720.0,467798.683,369134.8227,3784111.1972,135038.0,369488.2078,282774.7575,2341007.3769,19010.0,98310.4752,86360.0652,1443103.8203
00 NAL,,Nopal verdura,Nopal verdura,21586.0,20980.0,20423.6341,13756.456,563985.5176,18254.0,16658.4536,10524.0852,442410.369,2749.0,3765.1805,3232.3708,121575.1486
00 NAL,,Nuez,Nuez,21340.0,21257.0,183332.4698,149913.1572,204982.6248,5202.0,6760.4212,4038.3368,4453.2071,16077.0,176572.0486,145874.8204,200529.4177
00 NAL,,Papaya,Papaya,10983.0,10909.0,23981.9002,17982.1784,874158.8357,6786.0,7161.6329,3632.5379,72242.9344,4129.0,16820.2673,14349.6405,801915.9013
00 NAL,,Pasto cultivado,Pasto cultivado,111126.0,111125.0,2337837.3975,1436244.8053,16305345.5463,99324.0,2214468.7946,1346486.6954,14852356.7859,12697.0,123368.6029,89758.1099,1452988.7604
00 NAL,,Piña,Piña,18816.0,18777.0,48872.4263,37674.5364,1321597.1829,17659.0,42659.0788,32843.1832,1088762.8314,1128.0,6213.3475,4831.3532,232834.3515
00 NAL,,Plátano,Plátano,87991.0,87960.0,164057.5375,131693.003,2652188.234,79266.0,117826.5461,91407.2638,1466145.6644,8747.0,46230.9914,40285.7392,1186042.5696
00 NAL,,Uva,Uva,3272.0,3209.0,38519.2498,36730.2522,460014.4881,190.0,500.2997,382.6751,905.1025,3029.0,38018.9501,36347.5771,459109.3856
01 AGS,,,Aguascalientes,19648.0,4138.0,16782.4421,15605.8537,,616.0,2920.0983,2500.4875,,3492.0,13862.3438,13105.3662,
01 AGS,,Perennes,Perennes,,,,,,,,,,,,,
01 AGS,,Agave,Agave,66.0,65.0,220.3765,55.8,2825.7,62.0,213.2552,55.8,2825.7,3.0,7.1213,0.0,0.0
01 AGS,,Aguacate,Aguacate,44.0,44.0,67.9992,61.2433,460.2734,4.0,8.025,8.0148,0.027,40.0,59.9742,53.2285,460.2464
01 AGS,,Alfalfa,Alfalfa,1736.0,1736.0,6338.8201,6277.4552,529003.6543,71.0,280.7301,244.4283,10908.1292,1671.0,6058.09,6033.0269,518095.5251
01 AGS,,Espárrago,Espárrago,27.0,27.0,158.96,156.9341,773.6245,0.0,0.0,0.0,0.0,27.0,158.96,156.9341,773.6245
01 AGS,,Fresa,Fresa,25.0,10.0,36.86,36.86,1177.3516,1.0,1.0,1.0,0.3,9.0,35.86,35.86,1177.0516
01 AGS,,Guayaba,Guayaba,880.0,875.0,2730.5428,2587.3389,39436.8932,13.0,17.6244,16.6242,136.6474,862.0,2712.9184,2570.7147,39300.2458
01 AGS,,Limón,Limón,193.0,191.0,255.7556,118.5014,1224.6628,4.0,2.0252,0.0,0.0,187.0,253.7304,118.5014,1224.6628
01 AGS,,Mango,Mango,,,0.0142,0.0142,0.003,,0.0142,0.0142,0.003,,0.0,0.0,0.0
01 AGS,,Manzana,Manzana,24.0,24.0,55.1419,53.4119,376.2024,7.0,3.9704,2.4404,9.6116,17.0,51.1715,50.9715,366.5908
01 AGS,,Naranja,Naranja,10.0,10.0,58.7505,57.55,1701.1336,2.0,0.2142,0.0142,0.003,8.0,58.5363,57.5358,1701.1306
01 AGS,,Nopal verdura,Nopal verdura,393.0,393.0,687.3941,659.8154,21501.2113,43.0,75.3628,66.0779,2208.9742,350.0,612.0313,593.7375,19292.2371
01 AGS,,Nuez,Nuez,67.0,67.0,634.3623,605.655,1243.0397,7.0,9.94,9.68,2.531,60.0,624.4223,595.975,1240.5087
01 AGS,,Papaya,Papaya,,,0.006,0.006,0.001,,0.0,0.0,0.0,,0.006,0.006,0.001
01 AGS,,Pasto cultivado,Pasto cultivado,358.0,358.0,2864.0129,2648.3629,27980.4232,177.0,1785.313,1676.063,4137.718,182.0,1078.6999,972.2999,23842.7052
01 AGS,,Piña,Piña,,,0.0005,0.0005,0.005,,0.0,0.0,0.0,,0.0005,0.0005,0.005
01 AGS,,Uva,Uva,333.0,332.0,1395.6207,1208.5815,13514.568,3.0,9.25,9.25,3.1848,329.0,1386.3707,1199.3315,13511.3832
01 AGS,001 Aguascalientes,,Aguascalientes,3098.0,390.0,2591.2772,2428.2383,,95.0,745.8296,676.1037,,297.0,1845.4476,1752.1346,
01 AGS,001 Aguascalientes,Perennes,Perennes,,,,,,,,,,,,,
01 AGS,001 Aguascalientes,Agave,Agave,10.0,10.0,34.2602,0.0,0.0,10.0,34.2602,0.0,0.0,0.0,0.0,0.0,0.0
01 AGS,001 Aguascalientes,Aguacate,Aguacate,,,8.0152,8.015,0.0273,,8.015,8.0148,0.027,,0.0002,0.0002,0.0003
01 AGS,001 Aguascalientes,Alfalfa,Alfalfa,232.0,232.0,1014.6584,1006.165,90753.8727,7.0,9.51,9.51,126.5484,225.0,1005.1484,996.655,90627.3243
01 AGS,001 Aguascalientes,Guayaba,Guayaba,,,1.9204,0.0677,0.0672,,0.0644,0.0642,0.021,,1.856,0.0035,0.0462
01 AGS,001 Aguascalientes,Limón,Limón,9.0,9.0,3.0167,3.001,36.0209,2.0,0.0152,0.0,0.0,7.0,3.0015,3.001,36.0209
01 AGS,001 Aguascalientes,Mango,Mango,,,0.0142,0.0142,0.003,,0.0142,0.0142,0.003,,0.0,0.0,0.0
01 AGS,001 Aguascalientes,Manzana,Manzana,7.0,7.0,0.2819,0.0019,0.0126,2.0,0.2804,0.0004,0.0016,5.0,0.0015,0.0015,0.011
01 AGS,001 Aguascalientes,Naranja,Naranja,,,0.0153,0.0148,0.0207,,0.0142,0.0142,0.003,,0.0011,0.0006,0.0177
01 AGS,001 Aguascalientes,Nopal verdura,Nopal verdura,24.0,24.0,25.5075,25.5075,617.455,12.0,17.06,17.06,601.9344,12.0,8.4475,8.4475,15.5206
01 AGS,001 Aguascalientes,Nuez,Nuez,10.0,10.0,217.72,209.72,362.3573,2.0,9.0,9.0,2.32,8.0,208.72,200.72,360.0373
01 AGS,001 Aguascalientes,Pasto cultivado,Pasto cultivado,105.0,105.0,1189.7638,1087.5838,11550.8196,48.0,627.3,597.52,1592.4799,57.0,562.4638,490.0638,9958.3397
01 AGS,001 Aguascalientes,Piña,Piña,,,0.0005,0.0005,0.005,,0.0,0.0,0.0,,0.0005,0.0005,0.005
01 AGS,001 Aguascalientes,Uva,Uva,,,24.0,21.4373,196.3783,,8.0,8.0,1.0,,16.0,13.4373,195.3783
01 AGS,002 Asientos,,Asientos,3302.0,452.0,1930.6549,1786.46,,80.0,495.241,402.3829,,316.0,1435.4139,1384.0771,
01 AGS,002 Asientos,Perennes,Perennes,,,,,,,,,,,,,
01 AGS,002 Asientos,Agave,Agave,14.0,14.0,82.9913,17.0,100.0,13.0,79.97,17.0,100.0,1.0,3.0213,0.0,0.0
01 AGS,002 Asientos,Alfalfa,Alfalfa,286.0,286.0,1104.663,1095.8475,95732.6123,11.0,15.927,15.927,797.0247,275.0,1088.736,1079.9205,94935.5876
01 AGS,002 Asientos,Fresa,Fresa,,,1.0,1.0,4.0,,0.0,0.0,0.0,,1.0,1.0,4.0
01 AGS,002 Asientos,Limón,Limón,,,1.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0
01 AGS,002 Asientos,Manzana,Manzana,4.0,4.0,46.1,46.1,310.51,2.0,1.1,1.1,0.51,2.0,45.0,45.0,310.0
01 AGS,002 Asientos,Nopal verdura,Nopal verdura,6.0,6.0,26.9938,24.2287,719.6615,5.0,20.9938,19.2287,718.6615,1.0,6.0,5.0,1.0
01 AGS,002 Asientos,Nuez,Nuez,7.0,7.0,13.25,10.15,4.51,1.0,0.15,0.15,0.003,6.0,13.1,10.0,4.507
01 AGS,002 Asientos,Pasto cultivado,Pasto cultivado,48.0,48.0,342.9339,333.2639,1656.9934,13.0,283.92,276.25,275.5917,35.0,59.0139,57.0139,1381.4017
01 AGS,002 Asientos,Uva,Uva,,,39.25,30.25,381.7,,0.25,0.25,0.2,,39.0,30.0,381.5
01 AGS,003 Calvillo,,Calvillo,2659.0,1347.0,4468.5022,4099.6624,,61.0,286.3,254.4371,,1296.0,4182.2022,3845.2253,
01 AGS,003 Calvillo,Perennes,Perennes,,,,,,,,,,,,,
01 AGS,003 Calvillo,Aguacate,Aguacate,36.0,36.0,57.644,52.4415,456.3267,0.0,0.0,0.0,0.0,36.0,57.644,52.4415,456.3267
01 AGS,003 Calvillo,Alfalfa,Alfalfa,20.0,20.0,47.825,47.825,4359.0098,1.0,1.0,1.0,3.6,19.0,46.825,46.825,4355.4098
01 AGS,003 Calvillo,Espárrago,Espárrago,,,0.5,0.5,0.5,,0.0,0.0,0.0,,0.5,0.5,0.5
01 AGS,003 Calvillo,Guayaba,Guayaba,871.0,866.0,2727.3424,2585.9912,39434.8781,10.0,17.56,16.56,136.6264,856.0,2709.7824,2569.4312,39298.2517
01 AGS,003 Calvillo,Limón,Limón,176.0,174.0,246.1089,113.9904,1175.3419,1.0,2.0,0.0,0.0,173.0,244.1089,113.9904,1175.3419
01 AGS,003 Calvillo,Manzana,Manzana,4.0,4.0,1.71,1.51,2.05,0.0,0.0,0.0,0.0,4.0,1.71,1.51,2.05
01 AGS,003 Calvillo,Naranja,Naranja,5.0,5.0,58.7002,57.5002,1701.0059,1.0,0.2,0.0,0.0,4.0,58.5002,57.5002,1701.0059
01 AGS,003 Calvillo,Nopal verdura,Nopal verdura,336.0,336.0,609.409,587.6749,19501.3019,10.0,19.56,14.7097,549.7665,326.0,589.849,572.9652,18951.5354
01 AGS,003 Calvillo,Nuez,Nuez,,,4.525,3.2,1.2,,0.0,0.0,0.0,,4.525,3.2,1.2
01 AGS,003 Calvillo,Pasto cultivado,Pasto cultivado,54.0,54.0,274.0366,250.224,2009.1645,26.0,191.91,169.0974,378.5214,28.0,82.1266,81.1266,1630.6431
01 AGS,004 Cosío,,Cosío,1049.0,407.0,1367.5026,1268.6473,,31.0,91.0642,76.1466,,382.0,1276.4384,1192.5007,
01 AGS,004 Cosío,Perennes,Perennes,,,,,,,,,,,,,
01 AGS,004 Cosío,Agave,Agave,7.0,7.0,9.27,1.0,24.0,7.0,9.27,1.0,24.0,0.0,0.0,0.0,0.0
01 AGS,004 Cosío,Alfalfa,Alfalfa,120.0,120.0,361.3118,359.7018,25439.0838,3.0,19.334,19.334,817.5581,118.0,341.9778,340.3678,24621.5257
01 AGS,004 Cosío,Nopal verdura,Nopal verdura,,,5.239,4.5695,170.7824,,4.989,4.5695,170.7824,,0.25,0.0,0.0
01 AGS,004 Cosío,Nuez,Nuez,,,5.3,2.5,0.01,,0.0,0.0,0.0,,5.3,2.5,0.01
01 AGS,004 Cosío,Pasto cultivado,Pasto cultivado,10.0,10.0,36.9572,36.682,236.7415,8.0,33.8712,33.596,45.9959,2.0,3.086,3.086,190.7456
01 AGS,004 Cosío,Uva,Uva,277.0,276.0,845.0856,780.4079,7896.1886,0.0,0.0,0.0,0.0,276.0,845.0856,780.4079,7896.1886
01 AGS,005 Jesús María,,Jesús María,1451.0,350.0,1205.1062,1153.3506,,63.0,408.5428,365.3206,,286.0,796.5634,788.03,
01 AGS,005 Jesús María,Perennes,Perennes,,,,,,,,,,,,,
01 AGS,005 Jesús María,Agave,Agave,,,2.5,0.0,0.0,,2.5,0.0,0.0,,0.0,0.0,0.0
01 AGS,005 Jesús María,Aguacate,Aguacate,,,2.0,0.5,0.3,,0.0,0.0,0.0,,2.0,0.5,0.3
01 AGS,005 Jesús María,Alfalfa,Alfalfa,277.0,277.0,667.4833,667.4665,54427.4802,12.0,12.8428,12.8428,362.4995,266.0,654.6405,654.6237,54064.9807
01 AGS,005 Jesús María,Espárrago,Espárrago,,,6.0,6.0,35.76,,0.0,0.0,0.0,,6.0,6.0,35.76
01 AGS,005 Jesús María,Limón,Limón,,,4.6,0.5,1.0,,0.0,0.0,0.0,,4.6,0.5,1.0
01 AGS,005 Jesús María,Manzana,Manzana,,,1.77,1.77,25.7181,,0.0,0.0,0.0,,1.77,1.77,25.7181
01 AGS,005 Jesús María,Nopal verdura,Nopal verdura,5.0,5.0,4.82,4.82,180.0288,3.0,2.95,2.95,95.6561,2.0,1.87,1.87,84.3727
01 AGS,005 Jesús María,Nuez,Nuez,10.0,10.0,89.6763,87.843,237.385,1.0,0.25,0.25,0.008,9.0,89.4263,87.593,237.377
01 AGS,005 Jesús María,Pasto cultivado,Pasto cultivado,52.0,52.0,411.4645,370.7523,2018.5618,42.0,382.465,342.7528,945.3479,10.0,28.9995,27.9995,1073.2139
01 AGS,005 Jesús María,Uva,Uva,,,1.5,1.5,0.3,,0.0,0.0,0.0,,1.5,1.5,0.3
01 AGS,006 Pabellón de Arteaga,,Pabellón de Arteaga,989.0,285.0,1366.958,1313.9198,,51.0,177.5586,161.0986,,237.0,1189.3994,1152.8212,
01 AGS,006 Pabellón de Arteaga,Perennes,Perennes,,,,,,,,,,,,,
01 AGS,006 Pabellón de Arteaga,Agave,Agave,,,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0
01 AGS,006 Pabellón de Arteaga,Aguacate,Aguacate,,,0.31,0.2868,3.6194,,0.0,0.0,0.0,,0.31,0.2868,3.6194
01 AGS,006 Pabellón de Arteaga,Alfalfa,Alfalfa,202.0,202.0,716.4479,711.7479,57509.8294,13.0,77.29,72.59,3617.2931,191.0,639.1579,639.1579,53892.5363
01 AGS,006 Pabellón de Arteaga,Espárrago,Espárrago,11.0,11.0,36.86,36.86,162.7709,0.0,0.0,0.0,0.0,11.0,36.86,36.86,162.7709
01 AGS,006 Pabellón de Arteaga,Fresa,Fresa,,,30.61,30.61,1171.6716,,1.0,1.0,0.3,,29.61,29.61,1171.3716
01 AGS,006 Pabellón de Arteaga,Guayaba,Guayaba,,,1.25,1.25,1.5,,0.0,0.0,0.0,,1.25,1.25,1.5
01 AGS,006 Pabellón de Arteaga,Manzana,Manzana,,,2.14,2.14,28.4617,,0.0,0.0,0.0,,2.14,2.14,28.4617
01 AGS,006 Pabellón de Arteaga,Nopal verdura,Nopal verdura,,,1.16,1.0,30.5,,0.0,0.0,0.0,,1.16,1.0,30.5
01 AGS,006 Pabellón de Arteaga,Nuez,Nuez,13.0,13.0,92.1017,80.4627,207.4452,2.0,0.53,0.28,0.2,11.0,91.5717,80.1827,207.2452
01 AGS,006 Pabellón de Arteaga,Pasto cultivado,Pasto cultivado,22.0,22.0,167.0368,167.0368,6471.7865,7.0,37.63,37.63,162.4422,16.0,129.4068,129.4068,6309.3443
01 AGS,006 Pabellón de Arteaga,Uva,Uva,11.0,11.0,230.177,223.177,3159.8886,0.0,0.0,0.0,0.0,11.0,230.177,223.177,3159.8886
01 AGS,007 Rincón de Romos,,Rincón de Romos,1709.0,349.0,1515.1176,1461.535,,76.0,210.6063,165.8992,,275.0,1304.5113,1295.6358,
01 AGS,007 Rincón de Romos,Perennes,Perennes,,,,,,,,,,,,,
01 AGS,007 Rincón de Romos,Agave,Agave,5.0,5.0,5.05,0.0,0.0,5.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0
01 AGS,007 Rincón de Romos,Alfalfa,Alfalfa,235.0,235.0,1222.9242,1191.4354,104180.5369,14.0,123.2503,91.7615,4547.7754,222.0,1099.6739,1099.6739,99632.7615
01 AGS,007 Rincón de Romos,Espárrago,Espárrago,,,58.1,58.1,270.92,,0.0,0.0,0.0,,58.1,58.1,270.92
01 AGS,007 Rincón de Romos,Fresa,Fresa,11.0,1.0,5.0,5.0,1.6,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.6
01 AGS,007 Rincón de Romos,Guayaba,Guayaba,,,0.03,0.03,0.4479,,0.0,0.0,0.0,,0.03,0.03,0.4479
01 AGS,007 Rincón de Romos,Limón,Limón,,,0.01,0.01,0.3,,0.0,0.0,0.0,,0.01,0.01,0.3
01 AGS,007 Rincón de Romos,Manzana,Manzana,,,0.3,0.3,0.3,,0.0,0.0,0.0,,0.3,0.3,0.3
01 AGS,007 Rincón de Romos,Naranja,Naranja,,,0.01,0.01,0.1,,0.0,0.0,0.0,,0.01,0.01,0.1
01 AGS,007 Rincón de Romos,Nopal verdura,Nopal verdura,3.0,3.0,1.2308,1.2308,27.1,2.0,1.0,1.0,27.0,1.0,0.2308,0.2308,0.1
01 AGS,007 Rincón de Romos,Nuez,Nuez,8.0,8.0,7.8993,7.8893,17.6903,1.0,0.01,0.0,0.0,7.0,7.8893,7.8893,17.6903
01 AGS,007 Rincón de Romos,Pasto cultivado,Pasto cultivado,24.0,24.0,70.4253,70.4253,743.7336,7.0,20.652,20.652,21.615,17.0,49.7733,49.7733,722.1186
01 AGS,007 Rincón de Romos,Uva,Uva,24.0,24.0,65.546,56.68,551.0574,0.0,0.0,0.0,0.0,24.0,65.546,56.68,551.0574
01 AGS,008 San José de Gracia,,San José de Gracia,1060.0,75.0,112.48,94.7405,,62.0,101.505,83.8055,,13.0,10.975,10.935,
01 AGS,008 San José de Gracia,Perennes,Perennes,,,,,,,,,,,,,
01 AGS,008 San José de Gracia,Agave,Agave,4.0,4.0,2.65,1.0,1.0,4.0,2.65,1.0,1.0,0.0,0.0,0.0,0.0
01 AGS,008 San José de Gracia,Aguacate,Aguacate,,,0.02,0.0,0.0,,0.0,0.0,0.0,,0.02,0.0,0.0
01 AGS,008 San José de Gracia,Alfalfa,Alfalfa,9.0,9.0,10.49,10.377,727.8339,1.0,3.455,3.342,172.748,8.0,7.035,7.035,555.0859
01 AGS,008 San José de Gracia,Limón,Limón,,,0.01,0.0,0.0,,0.0,0.0,0.0,,0.01,0.0,0.0
01 AGS,008 San José de Gracia,Manzana,Manzana,,,2.84,1.59,9.15,,2.59,1.34,9.1,,0.25,0.25,0.05
01 AGS,008 San José de Gracia,Nopal verdura,Nopal verdura,7.0,7.0,6.46,5.96,213.4776,4.0,2.81,2.31,31.7233,3.0,3.65,3.65,181.7543
01 AGS,008 San José de Gracia,Pasto cultivado,Pasto cultivado,6.0,6.0,21.27,20.27,61.172,6.0,21.27,20.27,61.172,0.0,0.0,0.0,0.0
01 AGS,009 Tepezalá,,Tepezalá,1586.0,240.0,1052.246,903.9173,,25.0,57.15,32.8497,,217.0,995.096,871.0676,
01 AGS,009 Tepezalá,Perennes,Perennes,,,,,,,,,,,,,
01 AGS,009 Tepezalá,Agave,Agave,7.0,7.0,19.35,0.0,0.0,7.0,19.35,0.0,0.0,0.0,0.0,0.0,0.0
01 AGS,009 Tepezalá,Alfalfa,Alfalfa,201.0,201.0,629.815,627.1021,48159.9398,3.0,6.18,6.18,230.3742,199.0,623.635,620.9221,47929.5656
01 AGS,009 Tepezalá,Espárrago,Espárrago,,,7.5,6.2,10.0,,0.0,0.0,0.0,,7.5,6.2,10.0
01 AGS,009 Tepezalá,Fresa,Fresa,,,0.25,0.25,0.08,,0.0,0.0,0.0,,0.25,0.25,0.08
01 AGS,009 Tepezalá,Limón,Limón,,,1.0,1.0,12.0,,0.0,0.0,0.0,,1.0,1.0,12.0
01 AGS,009 Tepezalá,Naranja,Naranja,,,0.025,0.025,0.007,,0.0,0.0,0.0,,0.025,0.025,0.007
01 AGS,009 Tepezalá,Nopal verdura,Nopal verdura,,,1.0,0.25,0.3,,1.0,0.25,0.3,,0.0,0.0,0.0
01 AGS,009 Tepezalá,Nuez,Nuez,4.0,4.0,40.0,40.0,82.14,0.0,0.0,0.0,0.0,4.0,40.0,40.0,82.14
01 AGS,009 Tepezalá,Papaya,Papaya,,,0.006,0.006,0.001,,0.0,0.0,0.0,,0.006,0.006,0.001
01 AGS,009 Tepezalá,Pasto cultivado,Pasto cultivado,13.0,13.0,153.02,123.02,1805.2524,2.0,5.0,5.0,7.0,11.0,148.02,118.02,1798.2524
01 AGS,009 Tepezalá,Uva,Uva,,,166.5,76.6845,1114.9926,,0.0,0.0,0.0,,166.5,76.6845,1114.9926
01 AGS,010 El Llano,,El Llano,2199.0,153.0,468.8284,404.0161,,54.0,174.4148,120.5098,,103.0,294.4136,283.5063,
01 AGS,010 El Llano,Perennes,Perennes,,,,,,,,,,,,,
01 AGS,010 El Llano,Agave,Agave,14.0,14.0,62.205,35.8,2624.05,13.0,58.205,35.8,2624.05,1.0,4.0,0.0,0.0
01 AGS,010 El Llano,Alfalfa,Alfalfa,99.0,99.0,271.3515,269.5615,22233.2054,4.0,7.5,7.5,13.92,95.0,263.8515,262.0615,22219.2854
01 AGS,010 El Llano,Nopal verdura,Nopal verdura,,,1.5,0.5,10.0,,1.5,0.5,10.0,,0.0,0.0,0.0
01 AGS,010 El Llano,Pasto cultivado,Pasto cultivado,14.0,14.0,51.8748,43.8748,140.552,13.0,50.8748,42.8748,136.052,1.0,1.0,1.0,4.5
01 AGS,010 El Llano,Uva,Uva,8.0,8.0,11.5621,6.4448,54.0225,1.0,1.0,1.0,1.9848,7.0,10.5621,5.4448,52.0377
01 AGS,011 San Francisco de los Romo,,San Francisco de los Romo,546.0,90.0,703.769,691.3664,,18.0,171.886,161.9338,,70.0,531.883,529.4326,
01 AGS,011 San Francisco de los Romo,Perennes,Perennes,,,,,,,,,,,,,
01 AGS,011 San Francisco de los Romo,Agave,Agave,,,1.1,1.0,76.65,,1.0,1.0,76.65,,0.1,0.0,0.0
01 AGS,011 San Francisco de los Romo,Aguacate,Aguacate,,,0.01,0.0,0.0,,0.01,0.0,0.0,,0.0,0.0,0.0
01 AGS,011 San Francisco de los Romo,Alfalfa,Alfalfa,55.0,55.0,291.85,290.2255,25480.2501,2.0,4.441,4.441,218.7878,53.0,287.409,285.7845,25261.4623
01 AGS,011 San Francisco de los Romo,Espárrago,Espárrago,,,50.0,49.2741,293.6736,,0.0,0.0,0.0,,50.0,49.2741,293.6736
01 AGS,011 San Francisco de los Romo,Limón,Limón,,,0.01,0.0,0.0,,0.01,0.0,0.0,,0.0,0.0,0.0
01 AGS,011 San Francisco de los Romo,Nopal verdura,Nopal verdura,4.0,4.0,4.074,4.074,30.6041,2.0,3.5,3.5,3.15,2.0,0.574,0.574,27.4541
01 AGS,011 San Francisco de los Romo,Nuez,Nuez,9.0,9.0,163.89,163.89,330.3019,0.0,0.0,0.0,0.0,9.0,163.89,163.89,330.3019
01 AGS,011 San Francisco de los Romo,Pasto cultivado,Pasto cultivado,10.0,10.0,145.23,145.23,1285.6459,5.0,130.42,130.42,511.5,5.0,14.81,14.81,774.1459
01 AGS,011 San Francisco de los Romo,Uva,Uva,,,12.0,12.0,160.04,,0.0,0.0,0.0,,12.0,12.0,160.04
02 BCN,,,Baja California,7777.0,3105.0,62914.6102,58917.1308,,101.0,2574.0426,360.241,,2934.0,60340.5676,58556.8898,
02 BCN,,Perennes,Perennes,,,,,,,,,,,,,
02 BCN,,Aguacate,Aguacate,11.0,11.0,10.6612,2.3692,25.2328,2.0,3.03,0.0,0.0,9.0,7.6312,2.3692,25.2328
02 BCN,,Alfalfa,Alfalfa,1721.0,1721.0,41145.7963,41004.3096,3405087.6338,6.0,41.838,40.538,1996.0292,1715.0,41103.9583,40963.7716,3403091.6046
02 BCN,,Caña de azúcar,Caña de azúcar,,,0.0002,0.0,0.0,,0.0,0.0,0.0,,0.0002,0.0,0.0
02 BCN,,Espárrago,Espárrago,52.0,52.0,2164.0487,2122.5515,26683.5468,0.0,0.0,0.0,0.0,52.0,2164.0487,2122.5515,26683.5468
02 BCN,,Fresa,Fresa,112.0,99.0,2385.8837,2355.1029,83349.2954,0.0,0.0,0.0,0.0,99.0,2385.8837,2355.1029,83349.2954
02 BCN,,Guayaba,Guayaba,10.0,10.0,3.05,1.545,2.7403,1.0,0.5,0.5,0.2,9.0,2.55,1.045,2.5403
02 BCN,,Limón,Limón,85.0,83.0,278.7528,162.2704,1799.219,6.0,36.75,0.5,0.2,77.0,242.0028,161.7704,1799.019
02 BCN,,Mango,Mango,,,0.015,0.01,0.1193,,0.0,0.0,0.0,,0.015,0.01,0.1193
02 BCN,,Manzana,Manzana,11.0,11.0,31.4328,31.4066,171.8515,2.0,15.02,15.0,10.0,9.0,16.4128,16.4066,161.8515
02 BCN,,Naranja,Naranja,88.0,87.0,256.7155,195.8236,2327.8355,5.0,22.0,1.0,2.0,82.0,234.7155,194.8236,2325.8355
02 BCN,,Nopal verdura,Nopal verdura,82.0,82.0,216.506,186.8545,5247.7691,5.0,4.15,2.65,0.4105,77.0,212.356,184.2045,5247.3586
02 BCN,,Nuez,Nuez,,,6.002,6.002,3.5395,,0.0,0.0,0.0,,6.002,6.002,3.5395
02 BCN,,Pasto cultivado,Pasto cultivado,350.0,350.0,6653.3028,5002.5769,98089.6471,2.0,900.41,0.4036,8.6451,348.0,5752.8928,5002.1733,98081.002
02 BCN,,Uva,Uva,381.0,380.0,4284.5016,4142.9167,24700.4125,35.0,250.6,242.15,384.8,349.0,4033.9016,3900.7667,24315.6125
